
--- Episode Details ---
Episode 1: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.20
Episode 2: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -72.30
Episode 3: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -31.60
Episode 4: Steps = 776, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -28.12
Episode 5: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.50
Episode 6: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -150.80
Episode 7: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -74.60
Episode 8: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -71.30
Episode 9: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -67.10
Episode 10: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.40
Episode 11: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -29.10
Episode 12: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -141.20
Episode 13: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -53.60
Episode 14: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -82.80
Episode 15: Steps = 719, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -73.28
Episode 16: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -44.70
Episode 17: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 18: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -61.20
Episode 19: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -49.50
Episode 20: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -30.40
Episode 21: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -58.60
Episode 22: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -88.70
Episode 23: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -107.30
Episode 24: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -170.40
Episode 25: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -41.30
Episode 26: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -70.80
Episode 27: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -132.70
Episode 28: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -28.70
Episode 29: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -59.70
Episode 30: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -82.60
Episode 31: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -34.60
Episode 32: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -109.00
Episode 33: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.10
Episode 34: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -75.50
Episode 35: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -44.70
Episode 36: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -80.30
Episode 37: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -27.80
Episode 38: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -77.10
Episode 39: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -28.10
Episode 40: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -92.00
Episode 41: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -45.30
Episode 42: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -31.80
Episode 43: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 44: Steps = 412, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -52.04
Episode 45: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -24.40
Episode 46: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -105.40
Episode 47: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -101.80
Episode 48: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -203.80
Episode 49: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 50: Steps = 234, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -5.08
Episode 51: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -194.20
Episode 52: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.10
Episode 53: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -24.10
Episode 54: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -164.40
Episode 55: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.40
Episode 56: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -61.00
Episode 57: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -153.10
Episode 58: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.00
Episode 59: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -141.60
Episode 60: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -30.00
Episode 61: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -134.00
Episode 62: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -31.60
Episode 63: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -50.00
Episode 64: Steps = 58, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -5.36
Episode 65: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -60.80
Episode 66: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.40
Episode 67: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -111.20
Episode 68: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.80
Episode 69: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -71.50
Episode 70: Steps = 857, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -19.44
Episode 71: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -39.30
Episode 72: Steps = 580, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -13.30
Episode 73: Steps = 442, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -9.74
Episode 74: Steps = 174, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.68
Episode 75: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -35.60
Episode 76: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.50
Episode 77: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.10
Episode 78: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -44.90
Episode 79: Steps = 398, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -82.66
Episode 80: Steps = 772, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -27.44
Episode 81: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -125.80
Episode 82: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.40
Episode 83: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 84: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -140.10
Episode 85: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -56.90
Episode 86: Steps = 285, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -52.70
Episode 87: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -30.40
Episode 88: Steps = 337, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -63.64
Episode 89: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -155.50
Episode 90: Steps = 597, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -112.54
Episode 91: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -110.70
Episode 92: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -207.20
Episode 93: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -122.90
Episode 94: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -167.20
Episode 95: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -49.80
Episode 96: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -44.90
Episode 97: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.20
Episode 98: Steps = 792, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -18.34
Episode 99: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -153.60
Episode 100: Steps = 722, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -15.54
