
--- Episode Details ---
Episode 1: Steps = 540, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -13.40
Episode 2: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.80
Episode 3: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -104.00
Episode 4: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 5: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.20
Episode 6: Steps = 364, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -7.48
Episode 7: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.10
Episode 8: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.00
Episode 9: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 10: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.20
Episode 11: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.30
Episode 12: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.30
Episode 13: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 14: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.70
Episode 15: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 16: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 17: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.90
Episode 18: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 19: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 20: Steps = 493, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -11.06
Episode 21: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.50
Episode 22: Steps = 715, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -16.00
Episode 23: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.20
Episode 24: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.80
Episode 25: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 26: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.60
Episode 27: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.30
Episode 28: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.00
Episode 29: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -48.40
Episode 30: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.10
Episode 31: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -24.70
Episode 32: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 33: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -113.70
Episode 34: Steps = 584, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -13.28
Episode 35: Steps = 155, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -18.00
Episode 36: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.10
Episode 37: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.10
Episode 38: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.70
Episode 39: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.70
Episode 40: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.10
Episode 41: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.64
Episode 42: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.30
Episode 43: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 44: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 45: Steps = 197, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -5.64
Episode 46: Steps = 367, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -8.34
Episode 47: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.60
Episode 48: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.30
Episode 49: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.20
Episode 50: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 51: Steps = 550, Ore1 = 0.40, Ore2 = 0.39, Fuel Cost = -12.30
Episode 52: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 53: Steps = 880, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -19.20
Episode 54: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 55: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 56: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 57: Steps = 356, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -9.32
Episode 58: Steps = 679, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -15.38
Episode 59: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.90
Episode 60: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.60
Episode 61: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.00
Episode 62: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -23.20
Episode 63: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.80
Episode 64: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -22.50
Episode 65: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -21.50
