
--- Episode Details ---
Episode 1: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 2: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 3: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 4: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 5: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 6: Steps = 293, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -7.36
Episode 7: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 8: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 9: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -29.00
Episode 10: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 11: Steps = 13, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.36
Episode 12: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 13: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 14: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.50
Episode 15: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 16: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 17: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 18: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 19: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 20: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 21: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 22: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 23: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 24: Steps = 15, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.50
Episode 25: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 26: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 27: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.44
Episode 28: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 29: Steps = 26, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.62
Episode 30: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 31: Steps = 13, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.36
Episode 32: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 33: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 34: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 35: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 36: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 37: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 38: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 39: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 40: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 41: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 42: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 43: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 44: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 45: Steps = 1000, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -24.80
Episode 46: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 47: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 48: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 49: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 50: Steps = 52, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -1.14
Episode 51: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 52: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 53: Steps = 32, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.74
Episode 54: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 55: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 56: Steps = 30, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.70
Episode 57: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 58: Steps = 22, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.54
Episode 59: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 60: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 61: Steps = 151, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -4.82
Episode 62: Steps = 45, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -1.00
Episode 63: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 64: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 65: Steps = 356, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -25.22
Episode 66: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 67: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 68: Steps = 13, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.46
Episode 69: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 70: Steps = 15, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.40
Episode 71: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 72: Steps = 23, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.86
Episode 73: Steps = 39, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -1.18
Episode 74: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.40
Episode 75: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 76: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 77: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 78: Steps = 177, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -4.24
Episode 79: Steps = 29, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -1.48
Episode 80: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 81: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 82: Steps = 55, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -1.30
Episode 83: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 84: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 85: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 86: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 87: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 88: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 89: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 90: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 91: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 92: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 93: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 94: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 95: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 96: Steps = 11, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.32
Episode 97: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 98: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.34
Episode 99: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
Episode 100: Steps = 10, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.30
