
--- Episode Details ---
Episode 1: Steps = 23, Ore1 = 1.35, Ore2 = 0.05, Fuel Cost = -1.06
Episode 2: Steps = 21, Ore1 = 0.05, Ore2 = 1.45, Fuel Cost = -1.12
Episode 3: Steps = 20, Ore1 = 1.41, Ore2 = 0.09, Fuel Cost = -1.00
Episode 4: Steps = 20, Ore1 = 0.21, Ore2 = 1.29, Fuel Cost = -1.00
Episode 5: Steps = 15, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.40
Episode 6: Steps = 13, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.36
Episode 7: Steps = 16, Ore1 = 1.39, Ore2 = 0.11, Fuel Cost = -1.22
Episode 8: Steps = 17, Ore1 = 1.33, Ore2 = 0.17, Fuel Cost = -1.14
Episode 9: Steps = 17, Ore1 = 0.12, Ore2 = 1.38, Fuel Cost = -1.34
Episode 10: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.34
Episode 11: Steps = 17, Ore1 = 0.19, Ore2 = 1.31, Fuel Cost = -1.14
Episode 12: Steps = 21, Ore1 = 0.07, Ore2 = 1.43, Fuel Cost = -1.02
Episode 13: Steps = 16, Ore1 = 0.08, Ore2 = 1.42, Fuel Cost = -1.22
Episode 14: Steps = 18, Ore1 = 0.05, Ore2 = 1.45, Fuel Cost = -1.16
Episode 15: Steps = 570, Ore1 = 0.19, Ore2 = 1.31, Fuel Cost = -18.30
Episode 16: Steps = 41, Ore1 = 0.18, Ore2 = 1.32, Fuel Cost = -1.62
Episode 17: Steps = 21, Ore1 = 0.24, Ore2 = 1.26, Fuel Cost = -1.02
Episode 18: Steps = 22, Ore1 = 0.15, Ore2 = 1.35, Fuel Cost = -1.04
Episode 19: Steps = 19, Ore1 = 1.40, Ore2 = 0.10, Fuel Cost = -0.98
Episode 20: Steps = 21, Ore1 = 1.33, Ore2 = 0.17, Fuel Cost = -1.12
Episode 21: Steps = 20, Ore1 = 0.09, Ore2 = 1.41, Fuel Cost = -1.00
Episode 22: Steps = 20, Ore1 = 1.48, Ore2 = 0.02, Fuel Cost = -1.00
Episode 23: Steps = 17, Ore1 = 1.38, Ore2 = 0.12, Fuel Cost = -1.14
Episode 24: Steps = 20, Ore1 = 0.18, Ore2 = 1.32, Fuel Cost = -1.00
Episode 25: Steps = 22, Ore1 = 0.23, Ore2 = 1.27, Fuel Cost = -1.04
Episode 26: Steps = 21, Ore1 = 1.36, Ore2 = 0.10, Fuel Cost = -1.02
Episode 27: Steps = 17, Ore1 = 1.49, Ore2 = 0.01, Fuel Cost = -1.14
Episode 28: Steps = 23, Ore1 = 1.41, Ore2 = 0.09, Fuel Cost = -1.06
Episode 29: Steps = 18, Ore1 = 1.46, Ore2 = 0.04, Fuel Cost = -1.16
Episode 30: Steps = 28, Ore1 = 0.31, Ore2 = 1.19, Fuel Cost = -1.16
Episode 31: Steps = 24, Ore1 = 1.32, Ore2 = 0.18, Fuel Cost = -1.08
Episode 32: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.34
Episode 33: Steps = 16, Ore1 = 1.33, Ore2 = 0.17, Fuel Cost = -1.32
Episode 34: Steps = 12, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.34
Episode 35: Steps = 20, Ore1 = 0.10, Ore2 = 1.40, Fuel Cost = -1.00
Episode 36: Steps = 18, Ore1 = 0.19, Ore2 = 1.31, Fuel Cost = -0.96
Episode 37: Steps = 29, Ore1 = 1.45, Ore2 = 0.05, Fuel Cost = -1.28
Episode 38: Steps = 28, Ore1 = 0.24, Ore2 = 1.26, Fuel Cost = -1.46
Episode 39: Steps = 20, Ore1 = 1.37, Ore2 = 0.13, Fuel Cost = -1.00
Episode 40: Steps = 20, Ore1 = 0.16, Ore2 = 1.34, Fuel Cost = -1.00
Episode 41: Steps = 23, Ore1 = 1.24, Ore2 = 0.26, Fuel Cost = -1.06
Episode 42: Steps = 17, Ore1 = 1.38, Ore2 = 0.12, Fuel Cost = -1.24
Episode 43: Steps = 23, Ore1 = 1.39, Ore2 = 0.11, Fuel Cost = -1.26
Episode 44: Steps = 14, Ore1 = 0.00, Ore2 = 0.00, Fuel Cost = -0.38
Episode 45: Steps = 19, Ore1 = 0.20, Ore2 = 1.30, Fuel Cost = -0.98
Episode 46: Steps = 28, Ore1 = 0.14, Ore2 = 1.36, Fuel Cost = -1.16
